text,likes,retweets,created_at,hashtag
"RT @McBrideWriter: Who wants chocolate chip pancakes?
🥞🍪🥞🍪🥞🍪🥞🍪🥞🍪
#food #cooking #chocolate #foodpoll https://t.co/ubm4Diacpr",0,45,2021-02-16 22:06:14,#cooking
"RT @McBrideWriter: Who wants chocolate chip pancakes?
🥞🍪🥞🍪🥞🍪🥞🍪🥞🍪
#food #cooking #chocolate #foodpoll https://t.co/ubm4Diacpr",0,45,2021-02-16 22:05:29,#cooking
"Gorgeous red lentil and coconut soup with an adapted @800Diet recipe.

Serves 4, at 300kcal each - check out my IG… https://t.co/BPFArVNHs7",3,2,2021-02-16 22:03:04,#cooking
Check out the dishes prepared by our team during our virtual cooking class with Match! Ready to take us in as your… https://t.co/Rb1SDFs6Kd,0,0,2021-02-16 22:02:31,#cooking
Vote 🗳 4 my girl Teno. #MasterChef #Cooking https://t.co/gaimToKbnz,1,0,2021-02-16 22:02:30,#cooking
"RT @McBrideWriter: What am I doing? 
#food #cooking #baking #foodquiz https://t.co/qWLyVEGR0J",0,13,2021-02-16 22:01:34,#cooking
Combining leftovers with rice can make a great meat-free dinner and help you avoid food waste. Try these recipes or… https://t.co/P0pn7dSQ0a,3,0,2021-02-16 22:01:11,#cooking
"RT @InsanePepo: 😈Barbatos x Mommy MC🌸

They have a crush on each other 🥺💖

#obeyme #obeymebarbatos #barbatos #fanart #art #obeymemc #cookin…",0,164,2021-02-16 22:01:08,#cooking
Please take a minute to visit everyone's blogs and webpages. #BuildingFoodCommunity #PantryChat #foodies #recipes #cooking #kitchen,0,0,2021-02-16 22:00:01,#cooking
"HelloFresh Review!

#HelloFresh #Food #Cooking #Review #recipe #foodie #YouTube #YouTuber 

https://t.co/CZaRysxgQo",7,5,2021-02-16 21:59:30,#cooking
Please join us for #PantryChat at 4PM Eastern next Tuesday. Have a wonderful week everyone! #foodies #recipes #cooking,2,0,2021-02-16 21:59:00,#cooking
Thank you everyone for making this 387 th #PantryChat a success I really appreciate you being here today! #foodies #recipes #cooking,1,0,2021-02-16 21:58:00,#cooking
A lawsuit has been filed by a woman who was burned by a Fagor EZ Lock Pressure Cooker that exploded when she opened… https://t.co/IDgFY6uWmE,0,0,2021-02-16 21:55:45,#cooking
"RT @justfoodtweets: 5 Affordable, Protein-Packed Plant-Based Dinner to Cook Now -    https://t.co/X984kIfApX              #food #cooking #r…",0,1,2021-02-16 21:54:53,#cooking
