frequency,bigram/trigram,polarity,subjective
16,0466 636 881,0.0,0.0
16,0466 636,0.0,0.0
15,would like,0.0,0.0
15,veganlunch vegandinner plantbasedhealing,0.0,0.0
15,vegandinner plantbasedhealing plantbasedwholefood,0.0,0.0
15,vegandinner plantbasedhealing,0.0,0.0
15,spanish burger,0.0,0.0
15,plantbasedhealthprofessionals forksoverknives plantbasedbeginner,0.0,0.0
15,plantbasedhealthprofessionals forksoverknives,0.0,0.0
15,plantbasedhealth veganlunch vegandinner,0.0,0.0
15,plantbasedhealth veganlunch,0.0,0.0
15,plantbasedhealing plantbasedhealth veganlunch,0.0,0.0
15,plantbasedbeginner meatlessmondays plantbasedforbeginners,0.0,0.0
15,plantbasedbeginner meatlessmondays,0.0,0.0
15,officeplants officeideas indoorplants,0.0,0.0
15,officeplants officeideas,0.0,0.0
15,meatlessmondays plantbasedforbeginners poweredbyplants,0.0,0.0
15,meatlessmondays plantbasedforbeginners,0.0,0.0
15,lunch dinner,0.0,0.0
15,justeatplants plantbasedhealthprofessionals forksoverknives,0.0,0.0
15,hello fresh meal,0.3,0.5
15,goustogang goustobox,0.0,0.0
15,goustobox goustorecipe,0.0,0.0
15,gen plantbasedforhealth vegannooil,0.0,0.0
15,gen plantbasedforhealth,0.0,0.0
15,fresh meal,0.3,0.5
15,forksoverknives plantbasedbeginner meatlessmondays,0.0,0.0
15,forksoverknives plantbasedbeginner,0.0,0.0
15,foodie instafood,0.0,0.0
15,every week,0.0,0.0
15,click link,0.0,0.0
15,beef satay wrap,0.0,0.0
15,beef satay,0.0,0.0
14,workout ab musculationfrance,0.0,0.0
14,workout ab,0.0,0.0
14,want try,0.0,0.0
14,veganrecipes veganlife,0.0,0.0
14,stephlove fiel thegod,0.0,0.0
14,stephlove fiel,0.0,0.0
14,sport musuc,0.0,0.0
14,special occasion,0.35714285714285715,0.5714285714285714
14,simplycook simplycookcom,0.0,0.0
14,really enjoyed,0.5,0.7
14,pad thai,0.0,0.0
14,musculationfrance jelefaycardio photographie,0.0,0.0
14,musculationfrance jelefaycardio,0.0,0.0
14,jibril stephlove fiel,0.0,0.0
14,jelefaycardio photographie,0.0,0.0
14,gluten free,0.4,0.8
14,get order,0.0,0.0
14,fruit veg,0.0,0.0
14,fityourdreams workout ab,0.0,0.0
14,fityourdreams workout,0.0,0.0
14,fitspo fityourdreams workout,0.0,0.0
14,fiel thegod tet,0.0,0.0
14,fiel thegod,0.0,0.0
14,easy follow,0.43333333333333335,0.8333333333333334
14,discount code,0.0,0.0
14,ab musculationfrance jelefaycardio,0.0,0.0
14,ab musculationfrance,0.0,0.0
14,30 rest,0.0,0.0
13,weve got,0.0,0.0
13,vegan option,0.0,0.0
13,try use,0.0,0.0
13,tatenoyuusha anime isekai,0.0,0.0
13,tag nogamenolife,0.0,0.0
13,super tasty,0.3333333333333333,0.6666666666666666
13,spring onion,0.0,0.0
13,sora tagsignore shirosorashirosora,0.0,0.0
13,sora tagsignore,0.0,0.0
13,shiro sora tagsignore,0.0,0.0
13,salt pepper,0.0,0.0
13,rest month,0.0,0.0
13,post shiro sora,0.0,0.0
13,post shiro,0.0,0.0
13,pickup delivery,0.0,0.0
13,night dinner,0.0,0.0
13,mushroom risotto,0.0,0.0
13,meal kit,0.0,0.0
13,isekai fantasyanime isekaianime,0.0,0.0
13,isekai fantasyanime,0.0,0.0
13,homecooked homecooking,0.0,0.0
13,head website,0.0,0.0
13,greek salad,0.0,0.0
13,friday pickup,0.0,0.0
13,foodie foodstagram foodlover,0.0,0.0
13,foodie foodiesofinstagram,0.0,0.0
13,feta mash,0.0,0.0
13,fantasyanime isekaianime,0.0,0.0
13,everything need,0.0,0.0
13,drop message,0.0,0.0
13,delivery service,0.0,0.0
13,click link bio,0.0,0.0
13,caloriedeficit caloriecounting,0.0,0.0
13,butternut squash,0.0,0.0
13,beef ragu,0.0,0.0
13,anime isekai fantasyanime,0.0,0.0
13,anime isekai,0.0,0.0
